Keywords,agriculture_usda_article_p1.pdf,agriculture_usda_article_p2.pdf,agriculture_usda_article_p3.pdf,agriculture_usda_article_p4.pdf,agriculture_usda_article_p5.pdf,agriculture_usda_article_p6.pdf,agriculture_usda_article_p7.pdf,agriculture_usda_article_p8.pdf,agriculture_usda_article_p9.pdf
erosion,10,13,5,0,0,0,0,0,0
runoff,4,0,0,0,0,0,0,0,0
ephemeral gully erosion,2,0,0,0,0,0,0,0,0
drainage channel,4,0,0,0,0,0,0,0,0
gully erosion,1,0,0,0,0,0,0,0,0
watershed,1,0,0,0,0,0,0,0,0
erosive energy,0,5,0,0,0,0,0,0,0
strip-till,0,2,0,0,0,0,0,0,0
soil crusting,0,1,0,0,0,0,0,0,0
crusting,0,2,0,0,0,0,0,0,0
erosive,0,3,0,0,0,0,0,0,0
phosphorus,0,0,5,0,0,9,0,0,0
nutrient,0,0,8,0,0,9,4,0,0
nitrogen,0,0,3,0,10,7,13,4,0
sediment,0,0,5,0,0,0,0,0,0
soil erosion,0,0,1,0,0,0,0,0,0
water quality,0,0,1,0,0,0,0,0,0
burndown,0,0,0,2,0,0,0,0,0
herbicide,0,0,0,5,0,0,0,0,0
burndown herbicide,0,0,0,5,0,0,0,0,0
weed control,0,0,0,1,0,0,0,0,0
herbicides,0,0,0,2,0,0,0,0,0
pest control,0,0,0,1,0,0,0,0,0
no-till,0,0,0,1,0,0,0,0,0
tillage,0,0,0,1,0,0,0,0,0
wheat,0,0,0,1,0,0,0,0,0
cereal,0,0,0,1,0,0,0,0,0
carbon,0,0,0,0,10,0,0,0,0
elements,0,0,0,0,110,0,0,0,0
hydrogen,0,0,0,0,10,0,0,0,0
oxygen,0,0,0,0,10,0,0,0,0
potassium,0,0,0,0,10,7,0,0,0
sulfur,0,0,0,0,10,0,0,0,0
calcium,0,0,0,0,6,0,0,0,0
magnesium,0,0,0,0,10,0,0,0,0
iron,0,0,0,0,4,0,0,0,0
copper,0,0,0,0,9,0,0,0,0
zinc,0,0,0,0,10,0,0,0,0
molybdenum,0,0,0,0,3,0,0,0,0
boron,0,0,0,0,2,0,0,0,0
manganese,0,0,0,0,5,0,0,0,0
chlorine,0,0,0,0,1,0,0,0,0
phytomass,0,0,0,0,0,1,0,0,0
plant,0,0,0,0,0,1,0,1,1
nutrients,0,0,0,0,0,3,0,0,0
plant nutrients,0,0,0,0,0,6,0,0,0
plant nutrient,0,0,0,0,0,3,0,0,0
ammonia,0,0,0,0,0,0,4,0,0
ammonia gas,0,0,0,0,0,0,1,0,0
pl ant,0,0,0,0,0,0,4,0,0
nitrate,0,0,0,0,0,0,0,2,0
manure,0,0,0,0,0,0,0,1,0
organic nutrient,0,0,0,0,0,0,0,2,0
algae,0,0,0,0,0,0,0,1,0
estuarine,0,0,0,0,0,0,0,3,0
fresh water,0,0,0,0,0,0,0,1,0
marine,0,0,0,0,0,0,0,1,0
nitrate nitrogen,0,0,0,0,0,0,0,1,0
fish,0,0,0,0,0,0,0,1,0
aquatic life,0,0,0,0,0,0,0,1,0
manures,0,0,0,0,0,0,0,1,0
marine waters,0,0,0,0,0,0,0,1,0
nitrite,0,0,0,0,0,0,0,1,0
poten tial,0,0,0,0,0,0,0,0,5
soil,0,0,0,0,0,0,0,0,3
soil type,0,0,0,0,0,0,0,0,2
irrigation,0,0,0,0,0,0,0,0,2
plant growth,0,0,0,0,0,0,0,0,3
root,0,0,0,0,0,0,0,0,1
irrigation water,0,0,0,0,0,0,0,0,1
water,0,0,0,0,0,0,0,0,1
root zone,0,0,0,0,0,0,0,0,1
